epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,41357.8,1.5269,0.89914,0.00149,0.62438,0.50407,0.53386,0.33721,1.54049,1.14755,0.00236,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,41974.5,1.53256,0.89944,0.00149,0.60531,0.51382,0.53236,0.33645,1.54434,1.14335,0.00237,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,42664.8,1.52891,0.89384,0.00149,0.61563,0.50466,0.53426,0.3388,1.54288,1.14423,0.00237,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,43286.4,1.52806,0.89196,0.00147,0.61376,0.50235,0.5291,0.33423,1.54446,1.1501,0.00238,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,43902.5,1.52435,0.89362,0.00149,0.60331,0.51774,0.53695,0.33852,1.54912,1.13989,0.00239,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,44524,1.52518,0.88703,0.00147,0.61358,0.50622,0.53338,0.33618,1.54866,1.14464,0.00238,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,45141.6,1.52608,0.8872,0.00147,0.60177,0.51248,0.53165,0.33622,1.54175,1.14643,0.00237,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,45774.3,1.53064,0.88716,0.00146,0.6199,0.5023,0.53284,0.33624,1.54585,1.15208,0.00238,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,46396.1,1.52205,0.88418,0.00147,0.60965,0.50592,0.53311,0.33713,1.54868,1.15168,0.00238,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,47018.7,1.51928,0.88015,0.00146,0.61808,0.50893,0.5308,0.33443,1.54684,1.15489,0.00238,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,47633.7,1.5183,0.8764,0.00147,0.61595,0.5078,0.53434,0.33679,1.54675,1.15137,0.00238,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,48267.1,1.50772,0.8668,0.00146,0.61991,0.50354,0.53079,0.33568,1.54498,1.15654,0.00237,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,48905.7,1.51308,0.87582,0.00145,0.61229,0.50156,0.53191,0.33663,1.54083,1.1488,0.00237,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,49532.9,1.52426,0.87382,0.00145,0.60762,0.51124,0.53234,0.33497,1.54494,1.15051,0.00238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,50151,1.50507,0.86741,0.00145,0.60032,0.50408,0.52798,0.33219,1.54592,1.15455,0.00238,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,50773.8,1.51483,0.86434,0.00144,0.6187,0.50379,0.52941,0.3342,1.54397,1.15663,0.00238,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,51391,1.50878,0.85955,0.00145,0.62202,0.50576,0.53289,0.33655,1.54735,1.15231,0.00238,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,52015.3,1.51034,0.86107,0.00144,0.6277,0.50331,0.53111,0.33522,1.54802,1.15376,0.00238,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,52636.5,1.50448,0.86338,0.00145,0.61415,0.50984,0.53219,0.33685,1.54514,1.15298,0.00238,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,53259.6,1.51358,0.86232,0.00144,0.62357,0.50626,0.53396,0.33741,1.54367,1.15658,0.00237,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,53880.5,1.50973,0.85993,0.00143,0.62204,0.50426,0.53187,0.33632,1.54328,1.15602,0.00237,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,54505.6,1.49832,0.85105,0.00143,0.62421,0.50279,0.53045,0.33552,1.54495,1.15622,0.00238,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,55120.7,1.48778,0.84369,0.00144,0.61943,0.50332,0.53251,0.33703,1.54556,1.155,0.00238,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,55734,1.49003,0.84669,0.00143,0.61236,0.50639,0.52947,0.3353,1.54525,1.16089,0.00238,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,56354.8,1.49095,0.84315,0.00142,0.61687,0.50723,0.53094,0.33583,1.54855,1.16211,0.00239,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,56974.4,1.48741,0.84031,0.00143,0.60931,0.51467,0.53311,0.33762,1.54778,1.1609,0.00239,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,57595,1.48407,0.83572,0.00142,0.61118,0.51092,0.53153,0.33644,1.54848,1.16175,0.00239,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,58214.6,1.48974,0.84135,0.00142,0.62407,0.50412,0.53206,0.33664,1.55027,1.16366,0.00239,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,58829.1,1.47394,0.82775,0.00143,0.6278,0.50149,0.53011,0.33475,1.55159,1.16509,0.00239,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,59448,1.48379,0.83535,0.00142,0.61888,0.50589,0.53142,0.33632,1.54999,1.16841,0.00239,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,60065.5,1.48155,0.83511,0.0014,0.62426,0.50142,0.53071,0.3357,1.54867,1.16878,0.00239,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,60686.2,1.47162,0.82285,0.00141,0.62353,0.50156,0.53198,0.33695,1.54497,1.16787,0.00238,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,61308.3,1.47297,0.81987,0.0014,0.61295,0.5115,0.53303,0.33779,1.54552,1.16676,0.00238,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,61930.8,1.47966,0.82193,0.0014,0.62321,0.50411,0.5335,0.33794,1.54626,1.16748,0.00238,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,62555.4,1.48164,0.82463,0.0014,0.61709,0.50775,0.53283,0.33722,1.54833,1.17057,0.00238,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,63177.5,1.47706,0.82271,0.0014,0.61972,0.50773,0.53018,0.33549,1.55025,1.17434,0.00239,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,63798.3,1.47466,0.8202,0.00139,0.62546,0.50509,0.5303,0.33636,1.55137,1.17377,0.00239,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,64418.2,1.47587,0.8187,0.00139,0.61757,0.50846,0.52937,0.33531,1.55192,1.17688,0.0024,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,65043.6,1.47503,0.81611,0.00138,0.61808,0.50658,0.52864,0.33411,1.55123,1.18134,0.00239,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,65663.3,1.46524,0.81101,0.00138,0.6145,0.50527,0.5295,0.33514,1.55166,1.18071,0.00239,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,66281.7,1.46158,0.80951,0.00138,0.6227,0.50135,0.52892,0.33474,1.55136,1.18298,0.00239,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,66904.3,1.46974,0.81287,0.00137,0.61313,0.50838,0.52923,0.33422,1.55169,1.18202,0.0024,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,67526.7,1.45625,0.80334,0.00138,0.61907,0.50516,0.52998,0.33516,1.55341,1.1778,0.0024,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,68179.3,1.46526,0.80799,0.00137,0.62306,0.50081,0.5293,0.33504,1.55425,1.18109,0.0024,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,68816.5,1.45962,0.80362,0.00137,0.62438,0.50203,0.53033,0.33508,1.55528,1.18364,0.0024,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,69441.2,1.4505,0.7985,0.00137,0.6204,0.50294,0.52993,0.33589,1.5536,1.1861,0.0024,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,70078.1,1.4523,0.79735,0.00138,0.62376,0.49908,0.5305,0.33607,1.55391,1.18495,0.0024,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,70719.6,1.44561,0.79337,0.00137,0.63211,0.49722,0.52948,0.3359,1.55417,1.18455,0.0024,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,71360.5,1.44897,0.7963,0.00136,0.6231,0.49758,0.52866,0.33512,1.55572,1.18612,0.0024,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,72010.2,1.45335,0.79448,0.00136,0.62092,0.49943,0.52807,0.3341,1.55644,1.18636,0.0024,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,72663,1.45145,0.79391,0.00136,0.62616,0.49735,0.52897,0.33492,1.55547,1.18481,0.0024,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,73308.7,1.44025,0.78691,0.00137,0.62629,0.49875,0.52884,0.33433,1.55576,1.18635,0.0024,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,73939.4,1.44448,0.78911,0.00135,0.63516,0.49518,0.53124,0.33595,1.55536,1.18651,0.00241,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,74584.4,1.44718,0.78852,0.00135,0.62476,0.50345,0.5323,0.33642,1.55502,1.18604,0.0024,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,75235.5,1.44434,0.78464,0.00135,0.62904,0.50063,0.53177,0.33626,1.55515,1.18785,0.0024,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,75875.7,1.43167,0.78188,0.00134,0.61711,0.50904,0.53298,0.33743,1.55568,1.18749,0.0024,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,76526.7,1.4386,0.78203,0.00135,0.61935,0.50667,0.53197,0.33678,1.55593,1.19048,0.0024,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,77174.7,1.43118,0.77614,0.00133,0.62315,0.5036,0.53167,0.33625,1.55591,1.19105,0.0024,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,77814.4,1.43001,0.77041,0.00134,0.62182,0.5057,0.53125,0.33622,1.55671,1.19271,0.0024,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,78442.6,1.42819,0.77549,0.00133,0.62085,0.50504,0.52873,0.33455,1.55657,1.19705,0.00241,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,79083.1,1.42299,0.76652,0.00133,0.62127,0.50227,0.52794,0.33371,1.55752,1.2002,0.00241,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,79727.4,1.42029,0.76925,0.00133,0.61684,0.50768,0.5274,0.33384,1.55759,1.20135,0.00241,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
